arc_plot,books,progress_bar,score,status,blocker,next_action
Matriarchal power,01-09,[██████████████░░░░░░],70,IN PROGRESS,Books 05-07 women thin,epic_build_queue/women_centers_gap_map.md
Wedding / binding false ending,01,[████████████░░░░░░░░],60,IN PROGRESS,cultural verification,build binding research
Red River trade route,01-05,[████████░░░░░░░░░░░░],40,IN PROGRESS,source detail,expand dossier
Marie Therese / Guedon,02,[██████░░░░░░░░░░░░░░],30,SCAFFOLDED,records,research Jacques
Besson widowhood,03,[████░░░░░░░░░░░░░░░░],20,SCAFFOLDED,Besson details,research first husband
Alexis Grappe match,03-04,[████░░░░░░░░░░░░░░░░],20,SCAFFOLDED,origin/role,research Alexis
Francois Grappe carrier,04-05,[███░░░░░░░░░░░░░░░░░],15,SCAFFOLDED,historical role,research Francois
Civil War/Reconstruction,06-07,[██░░░░░░░░░░░░░░░░░░],10,PLACEHOLDER,anchors missing,identify descendants
Buford/Bobby,08,[████░░░░░░░░░░░░░░░░],20,HUMAN DIRECTION,documentation,build records packet
Steve/Kelly modern arc,09,[████░░░░░░░░░░░░░░░░],20,HUMAN DIRECTION,living-person handling,source neutrally
