priority,blocker,area_affected,severity,can_work_continue,next_move
High,Wedding/binding cultural form unresolved,Book 01 visible plot,HIGH,yes high-level,research carefully
High,Exact raid date / age unresolved,Book 01 ending + Marie Therese,HIGH,yes flexible,verify sources
High,King Campti thread fictionalized,Book 01 Third II,MEDIUM,yes marked PROPOSED,source/decide terminology
Medium,Red River trade specifics thin,worldbuilding,MEDIUM,yes,expand dossier
Medium,Book 05-07 women centers TBD,series,MEDIUM,yes,epic_build_queue/books_05_to_07_gap_map.md
Medium,Besson/Alexis research thin,Books 03-04,MEDIUM,yes,research packets
Medium,Sassafras / gumbo specificity unverified,Book 01 + series symbol,MEDIUM,yes as PROPOSED,research/sassafras_gumbo/ before scenes
Medium,Chapter candidates need human merge decisions,Book 01 structure,MEDIUM,yes,review book01_chapter_candidates_v0 gate
Low,Symbol recurrence underbuilt,Book 01,LOW,yes,book01_symbol_braid_v0 started keep grounded
Low,Binding partner packet unfilled,Book 01 union engine,LOW,yes,keep OPEN until research
